protein.Entry_protein.Accession,protein.Description,c1,c2,c3,r1,r2,r3,rt1,rt2,rt3,t1,t2,t3,Present_NumFiles
RL12_HUMAN_P30050,60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1,1.7238,1.4301,1.6763,0.9662,1.1056,1.0478,1.2646,1.4665,1.0201,1.1055,1.1246,1.1373,12
PSD11_HUMAN_O00231,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens GN=PSMD11 PE=1 SV=3,1.4566,1.2719,1.34,1.2029,1.6793,1.3385,1.5184,1.2858,0.9828,1.8562,1.4947,1.4475,12
PSB1_HUMAN_P20618,Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2,0.3181,0.5051,0.1745,0.4227,0.4223,0.4958,0.5248,0.2073,0.2339,0.5213,0.5822,0.4289,12
TBB6_HUMAN_Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1,1.4274,1.6556,1.2267,2.1869,2.0937,1.8845,2.5241,2.7203,1.5687,1.9101,1.8247,1.547,12
PSB5_HUMAN_P28074,Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3,0.7594,0.3647,0.4975,0.2692,0.2231,0.2268,0.2154,0.3965,0.3036,0.3203,0.2953,0.2269,12
ECM29_HUMAN_Q5VYK3,Proteasome-associated protein ECM29 homolog OS=Homo sapiens GN=ECM29 PE=1 SV=2,0.7231,0.5473,1.5812,0.8465,2.2512,1.4747,0.9248,0.61,0.3643,1.7748,1.3422,1.768,12
ROA2_HUMAN_P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2,2.8133,3.037,3.0679,2.3074,2.5259,2.3816,2.7076,2.9702,2.3272,2.5586,2.4321,2.1947,12
RFA1_HUMAN_P27694,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2,0.7492,0.4055,0.7298,0.486,0.4568,0.3807,0.4379,0.2111,0.2808,0.2319,0.4299,0.5852,12
MANF_HUMAN_P55145,Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens GN=MANF PE=1 SV=3,0.2581,0.3074,0.3031,0.4892,0.4808,0.5096,0.7461,0.4418,0.3494,0.6517,0.5395,0.574,12
ISG15_HUMAN_P05161,Ubiquitin-like protein ISG15 OS=Homo sapiens GN=ISG15 PE=1 SV=5,0.3577,0.3341,0.3129,0.3065,0.2373,0.2454,0.3144,0.2721,0.3347,0.256,0.2352,0.1925,12
MX2_HUMAN_P20592,Interferon-induced GTP-binding protein Mx2 OS=Homo sapiens GN=MX2 PE=1 SV=1,2.3249,4.3252,2.1841,2.9431,4.4664,4.6182,3.5066,1.028,1.0973,3.904,4.1783,3.0246,12
PFKAP_HUMAN_Q01813,ATP-dependent 6-phosphofructokinase_ platelet type OS=Homo sapiens GN=PFKP PE=1 SV=2,2.1573,2.1184,1.4927,2.3915,2.3989,2.4836,3.4012,2.7097,2.158,2.5516,2.4446,2.0148,12
DIP2B_HUMAN_Q9P265,Disco-interacting protein 2 homolog B OS=Homo sapiens GN=DIP2B PE=1 SV=3,0.5392,0.4628,0.6288,0.3355,0.4137,0.3232,0.5264,0.5925,0.4596,0.5871,1.7963,0.6045,12
SQOR_HUMAN_Q9Y6N5,Sulfide:quinone oxidoreductase_ mitochondrial OS=Homo sapiens GN=SQOR PE=1 SV=1,0.7116,0.7398,0.6002,0.4607,0.4654,0.4745,0.3996,0.439,0.3901,0.426,0.4095,0.3967,12
MA7D1_HUMAN_Q3KQU3,MAP7 domain-containing protein 1 OS=Homo sapiens GN=MAP7D1 PE=1 SV=1,1.6344,0.7776,1.886,0.2524,1.5576,0.296,1.3081,0.4317,0.5322,0.3846,1.3684,0.4261,12
ERP44_HUMAN_Q9BS26,Endoplasmic reticulum resident protein 44 OS=Homo sapiens GN=ERP44 PE=1 SV=1,0.9296,0.8232,0.8943,0.6159,0.6274,0.6055,0.7295,0.8133,0.5821,0.6622,0.6353,0.5591,12
SKP1_HUMAN_P63208,S-phase kinase-associated protein 1 OS=Homo sapiens GN=SKP1 PE=1 SV=2,0.2987,0.3306,0.208,0.2699,0.3058,0.3037,0.332,0.3058,0.2711,0.3155,0.2965,0.2609,12
UB2V1_HUMAN_Q13404,Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens GN=UBE2V1 PE=1 SV=2,0.1143,0.3788,0.3359,0.391,0.0351,0.434,0.5395,0.4812,0.3726,0.5015,0.4226,0.4241,12
EIF3M_HUMAN_Q7L2H7,Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1,0.2671,0.5248,0.1758,0.3576,0.3254,0.2127,0.3812,0.2719,0.2707,0.3162,0.2334,0.2013,12
C9J9K3_HUMAN_C9J9K3,40S ribosomal protein SA (Fragment) OS=Homo sapiens GN=RPSA PE=1 SV=8,1.4295,1.7601,1.9349,1.6773,1.6668,1.6078,2.1637,1.9269,1.6793,1.6013,1.6639,1.4905,12
A0A0A0MT44_HUMAN_A0A0A0MT44,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=1,0.7367,0.6813,0.6113,0.6359,0.7596,0.6203,0.8001,0.7581,0.5804,0.6522,0.6595,0.632,12
T3HPD_HUMAN_Q96EM0,Trans-3-hydroxy-L-proline dehydratase OS=Homo sapiens GN=L3HYPDH PE=1 SV=2,0.1969,0.1905,0.1995,0.1584,0.216,0.1731,0.2182,0.1843,0.1124,0.1663,0.181,0.1809,12
SDPR_HUMAN_O95810,Serum deprivation-response protein OS=Homo sapiens GN=SDPR PE=1 SV=3,2.1762,0.419,0.5493,1.7384,2.1527,2.0608,1.352,1.3433,1.3591,1.6525,1.6391,1.3699,12
PRPS1_HUMAN_P60891,Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens GN=PRPS1 PE=1 SV=2,0.2911,0.2827,0.2783,0.2157,0.2209,0.2332,0.3167,0.3612,0.2658,0.4259,0.445,0.3743,12
HAP28_HUMAN_Q13442,28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens GN=PDAP1 PE=1 SV=1,0.4287,0.3109,0.3686,0.1737,0.268,0.21,0.2125,0.3186,0.166,0.3077,0.2049,0.3112,12
HDGF_HUMAN_P51858,Hepatoma-derived growth factor OS=Homo sapiens GN=HDGF PE=1 SV=1,0.441,0.3995,0.4676,0.2149,0.3649,0.3593,0.3776,0.4405,0.3737,0.3579,0.307,0.3119,12
VATB2_HUMAN_P21281,V-type proton ATPase subunit B_ brain isoform OS=Homo sapiens GN=ATP6V1B2 PE=1 SV=3,0.7619,0.5253,0.698,0.4015,0.3281,0.4695,0.7162,0.317,0.2929,0.5924,0.454,0.4452,12
UBA1_HUMAN_P22314,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3,6.0988,6.2678,5.7552,7.2859,8.2407,5.8092,8.9383,6.1805,4.8727,8.612,7.7201,7.1224,12
E9PF19_HUMAN_E9PF19,Transducin beta-like protein 2 OS=Homo sapiens GN=TBL2 PE=1 SV=1,0.1904,0.267,0.2385,0.6262,0.1465,0.4845,0.2606,0.245,0.123,0.1552,0.1881,0.22,12
THIO_HUMAN_P10599,Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3,0.7251,0.7236,0.9016,0.7548,1.2028,1.2716,0.9214,1.0548,0.7101,1.2335,0.7996,1.0912,12
ADT2_HUMAN_P05141,ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7,1.5126,1.2862,2.2766,0.5432,1.0907,1.1262,1.2046,1.5433,0.8754,1.4493,0.8915,0.8221,12
EF2_HUMAN_P13639,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,14.494,12.9923,15.3256,9.2653,11.1369,11.1254,12.0071,13.7249,9.7748,12.3725,12.4572,12.1964,12
SERC_HUMAN_Q9Y617,Phosphoserine aminotransferase OS=Homo sapiens GN=PSAT1 PE=1 SV=2,0.5441,0.5101,0.6205,0.6469,0.4323,0.6122,0.5554,0.7081,0.6458,0.5516,0.4687,0.4147,12
ADT3_HUMAN_P12236,ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4,0.5394,0.3872,0.2604,0.5499,0.5519,0.3516,0.5549,0.4496,0.5212,0.3072,0.5766,0.4533,12
FUMH_HUMAN_P07954,Fumarate hydratase_ mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3,1.1822,1.1062,0.9224,1.1131,1.1167,1.1672,1.3093,1.0446,0.7282,1.2268,1.3455,1.232,12
STT3A_HUMAN_P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens GN=STT3A PE=1 SV=2,0.7413,0.561,0.6711,0.587,0.613,0.8536,0.5632,1.8606,0.3804,0.5341,0.4143,0.6721,12
K2C1_HUMAN_P04264,Keratin_ type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6,1.3596,0.5795,0.3058,0.4577,0.2227,0.3856,1.2085,0.5436,0.3206,0.3766,0.488,0.2654,12
MPPB_HUMAN_O75439,Mitochondrial-processing peptidase subunit beta OS=Homo sapiens GN=PMPCB PE=1 SV=2,0.343,0.2821,0.3189,0.2226,0.2436,0.2334,0.2857,0.3763,0.2242,0.2523,0.3,0.25,12
RS4X_HUMAN_P62701,40S ribosomal protein S4_ X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2,1.1464,1.4802,1.0842,1.2666,1.6718,1.5592,1.6528,1.2141,1.0263,1.4319,1.4527,1.0943,12
MCCB_HUMAN_Q9HCC0,Methylcrotonoyl-CoA carboxylase beta chain_ mitochondrial OS=Homo sapiens GN=MCCC2 PE=1 SV=1,0.2607,0.3357,0.4575,0.3003,0.4562,0.3559,0.277,0.1915,0.1607,0.418,0.5433,0.4302,12
GOLP3_HUMAN_Q9H4A6,Golgi phosphoprotein 3 OS=Homo sapiens GN=GOLPH3 PE=1 SV=1,0.3883,0.188,0.3376,0.2675,0.3046,0.2151,0.3433,0.6124,0.3226,0.3176,0.2749,0.3284,12
IFIT1_HUMAN_P09914,Interferon-induced protein with tetratricopeptide repeats 1 OS=Homo sapiens GN=IFIT1 PE=1 SV=2,0.5537,0.6424,0.5343,0.2552,0.2519,0.1896,0.2479,0.5067,0.178,1.1899,0.4829,0.2176,12
SNUT1_HUMAN_O43290,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1,0.6442,0.46,0.5799,0.3634,0.3972,0.4323,0.5864,0.4857,0.317,0.4358,0.3969,0.4275,12
COPA_HUMAN_P53621,Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2,2.5075,2.1141,1.4088,1.5293,1.6338,1.5089,1.7657,2.2461,1.4148,1.8414,2.5745,1.759,12
PRS10_HUMAN_P62333,26S protease regulatory subunit 10B OS=Homo sapiens GN=PSMC6 PE=1 SV=1,1.8386,1.534,1.1576,1.0321,1.3307,1.2272,1.455,1.4186,1.0987,1.303,1.3234,1.1023,12
PSMD1_HUMAN_Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2,3.6148,2.4929,2.7771,3.5997,3.4932,2.4461,4.118,2.5721,1.361,3.0149,2.6648,3.0128,12
6PGD_HUMAN_P52209,6-phosphogluconate dehydrogenase_ decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3,2.5306,1.9725,3.0159,1.6309,4.0859,2.3533,2.3684,2.8514,1.6861,1.9506,2.454,1.8484,12
IF2B2_HUMAN_Q9Y6M1,Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens GN=IGF2BP2 PE=1 SV=2,1.2441,0.8585,1.9186,0.7494,0.9589,0.9467,1.0871,1.1735,0.5177,1.1006,0.9758,1.0807,12
H10_HUMAN_P07305,Histone H1.0 OS=Homo sapiens GN=H1F0 PE=1 SV=3,0.239,0.2648,0.2545,0.1224,0.1434,0.1542,0.1134,0.139,0.1154,0.0925,0.1448,0.137,12
STAT1_HUMAN_P42224,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens GN=STAT1 PE=1 SV=2,2.4324,1.4732,2.3942,1.1372,1.427,1.2691,1.2571,1.5135,0.9611,1.7361,1.5509,1.6014,12
ARFP1_HUMAN_P53367,Arfaptin-1 OS=Homo sapiens GN=ARFIP1 PE=1 SV=2,0.1857,0.0803,0.142,0.1297,0.0927,0.3614,0.1013,0.6539,0.1402,0.1017,0.1076,0.1141,12
PPIC_HUMAN_P45877,Peptidyl-prolyl cis-trans isomerase C OS=Homo sapiens GN=PPIC PE=1 SV=1,0.1833,0.0746,0.1247,0.1175,0.1435,0.1213,0.1405,0.2239,0.1173,0.1929,0.1807,0.1655,12
ILF3_HUMAN_Q12906,Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3,4.1467,5.4246,3.4162,3.6827,3.3886,4.1297,3.768,4.0356,4.0664,2.8478,2.7607,3.5217,12
DCTN2_HUMAN_Q13561,Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=1 SV=4,0.7149,1.0619,0.7233,1.2008,1.1689,0.9942,1.2984,0.7209,0.5978,1.2338,1.21,1.0403,12
A0A0C4DGA1_HUMAN_A0A0C4DGA1,Filamin-B (Fragment) OS=Homo sapiens GN=FLNB PE=1 SV=1,0.0424,0.0877,0.0513,0.1147,0.1121,0.0788,0.1158,0.1254,0.1019,0.0781,0.0853,0.0828,12
K2C72_HUMAN_Q14CN4,Keratin_ type II cytoskeletal 72 OS=Homo sapiens GN=KRT72 PE=1 SV=2,0.0759,0.0056,0.0426,0.0067,0.0255,0.3544,0.0687,0.2465,0.0585,0.6428,0.0267,0.1688,12
A0A1C7CYX9_HUMAN_A0A1C7CYX9,Dihydropyrimidinase-related protein 2 OS=Homo sapiens GN=DPYSL2 PE=1 SV=1,1.5423,1.1507,1.5759,1.4118,1.2831,1.4975,1.183,1.0826,0.802,0.9721,0.8632,0.8515,12
LDHA_HUMAN_P00338,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2,6.7796,5.76,7.8225,4.8572,5.1377,4.9033,5.0704,6.1624,4.2883,5.0853,5.0782,4.8477,12
CALM2_HUMAN_P0DP24,Calmodulin-2 OS=Homo sapiens GN=CALM2 PE=1 SV=1,1.0742,1.1419,0.7523,1.1316,1.5486,1.615,1.9732,1.0232,1.0836,1.3921,1.5429,1.2835,12
GBF1_HUMAN_Q92538,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens GN=GBF1 PE=1 SV=2,1.5743,0.8983,1.4785,0.6578,0.7324,0.9679,0.835,0.9713,0.7238,1.3025,1.3359,1.2958,12
EF1B_HUMAN_P24534,Elongation factor 1-beta OS=Homo sapiens GN=EEF1B2 PE=1 SV=3,0.4537,0.574,0.4055,0.8832,0.7686,0.8144,0.9975,0.5853,0.6317,0.7881,0.7892,0.6374,12
SCOT1_HUMAN_P55809,Succinyl-CoA:3-ketoacid coenzyme A transferase 1_ mitochondrial OS=Homo sapiens GN=OXCT1 PE=1 SV=1,0.5017,0.4098,0.4689,0.3187,0.3633,0.3307,0.4223,0.3904,0.3279,0.3716,0.3991,0.3732,12
KTN1_HUMAN_Q86UP2,Kinectin OS=Homo sapiens GN=KTN1 PE=1 SV=1,5.4004,3.8392,3.5651,4.5767,4.9029,5.1414,5.6349,5.9528,3.7111,5.726,4.8198,4.2083,12
MEA1_HUMAN_Q16626,Male-enhanced antigen 1 OS=Homo sapiens GN=MEA1 PE=1 SV=2,0.2271,0.1914,0.1915,0.1789,0.1867,0.0913,0.2262,0.2331,0.0897,0.1776,0.1806,0.1591,12
HCD2_HUMAN_Q99714,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens GN=HSD17B10 PE=1 SV=3,0.5373,0.5739,0.509,0.3315,0.4499,0.3891,0.5116,0.5845,0.3264,0.4898,0.4807,0.5249,12
RAB8A_HUMAN_P61006,Ras-related protein Rab-8A OS=Homo sapiens GN=RAB8A PE=1 SV=1,0.4254,0.3042,0.3267,0.2023,0.1854,0.2923,0.1159,0.2685,0.1789,0.2544,0.2246,0.2136,12
PKN2_HUMAN_Q16513,Serine/threonine-protein kinase N2 OS=Homo sapiens GN=PKN2 PE=1 SV=1,0.2429,0.1551,1.7472,0.2068,0.113,0.1273,0.2225,0.1134,0.3405,0.1086,0.141,0.2637,12
