protein.key_protein.Accession,protein.Description,protein.ngramOnColumn -> EmillyBowler_KOGSK_Rep1_001_Merged_Spectrum_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_KOGSK_Rep2_Merged_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_KOGSK_Rep3_001_Merged_Spectrum_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_WT_Rep1_001_Merged_Spectrum_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_WT_Rep2_001_Merged_Spectrum_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_WT_Rep3_001_Merged_Spectrum_IA_final_protein,Present_NumFiles
17083_TBB3_HUMAN,Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2,17.0196,9.8905,0.7777,3.4919,4.2120,7.9055,6
10014_MARE2_HUMAN,Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens GN=MAPRE2 PE=1 SV=1,2.8843,0.0139,0.5749,0.4457,0.1469,0.5491,6
14557_RIR1_HUMAN,Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens GN=RRM1 PE=1 SV=1,23.0729,24.6637,13.5243,8.7947,11.4798,15.3685,6
10824_MYG1_HUMAN,UPF0160 protein MYG1_ mitochondrial OS=Homo sapiens GN=C12orf10 PE=1 SV=2,6.6111,5.5735,3.2133,0.9725,1.9547,2.7414,6
17081_TBB2A_HUMAN,Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1,11.1821,0.9874,3.7969,3.4142,19.0932,5.4835,6
14593_RL32_HUMAN,60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE=1 SV=2,4.2461,0.5132,0.2118,2.2024,1.3472,2.0636,6
4825_DPP3_HUMAN,Dipeptidyl peptidase 3 OS=Homo sapiens GN=DPP3 PE=1 SV=2,19.5120,0.9940,5.7795,3.1104,8.1015,8.5823,6
7627_HNRPK_HUMAN,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1,59.5958,5.4644,20.6584,19.4019,26.2927,41.7610,6
16942_T2FB_HUMAN,General transcription factor IIF subunit 2 OS=Homo sapiens GN=GTF2F2 PE=1 SV=2,2.5291,2.8686,0.9450,1.2353,1.2324,3.1528,6
18657_UGGG1_HUMAN,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3,18.7889,27.5797,6.8588,5.5808,5.3334,10.4721,6
14577_RL19_HUMAN,60S ribosomal protein L19 OS=Homo sapiens GN=RPL19 PE=1 SV=1,15.5642,0.8908,6.8048,4.7249,5.6593,11.0896,6
7_1433S_HUMAN,14-3-3 protein sigma OS=Homo sapiens GN=SFN PE=1 SV=1,26.1713,0.0343,6.0000,6.1464,5.9992,13.1701,6
6440_G3BP2_HUMAN,Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens GN=G3BP2 PE=1 SV=2,10.6473,4.4884,3.3280,3.7497,2.2353,5.9980,6
18029_TRAP1_HUMAN,Heat shock protein 75 kDa_ mitochondrial OS=Homo sapiens GN=TRAP1 PE=1 SV=3,52.6349,8.3010,18.8327,13.7145,32.4617,24.0290,6
15630_SEPT2_HUMAN,Septin-2 OS=Homo sapiens GN=SEPT2 PE=1 SV=1,11.6474,4.2828,3.4554,2.6736,3.0953,7.4759,6
18367_TWF1_HUMAN,Twinfilin-1 OS=Homo sapiens GN=TWF1 PE=1 SV=3,9.8463,0.3713,3.2756,1.9415,2.7872,5.2223,6
14618_RL8_HUMAN,60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2,18.4600,19.5926,4.5111,7.3119,10.2786,17.7641,6
909_AP2B1_HUMAN,AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1,19.8258,12.6631,7.6325,7.5082,8.6908,13.1165,6
12466_PABP1_HUMAN,Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2,46.9694,4.1614,9.9667,15.8580,27.3012,34.4573,6
16477_SRP68_HUMAN,Signal recognition particle subunit SRP68 OS=Homo sapiens GN=SRP68 PE=1 SV=2,21.5785,3.3515,4.3274,3.9417,11.1614,10.6740,6
8793_KHDR1_HUMAN,KH domain-containing_ RNA-binding_ signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1,11.4766,10.7915,0.3695,7.3671,4.3051,7.3358,6
13413_PPAC_HUMAN,Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3,2.0051,0.0637,0.6082,1.2225,0.5135,1.8300,6
4445_DDX3X_HUMAN,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3,24.5742,2.9617,6.4161,6.0113,8.6617,20.8569,6
14223_RBP56_HUMAN,TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1,0.2251,2.4481,0.1746,0.1667,1.7432,8.2696,6
5903_FAF2_HUMAN,FAS-associated factor 2 OS=Homo sapiens GN=FAF2 PE=1 SV=2,5.1839,0.5872,0.8675,1.1776,2.0944,4.3491,6
6044_FCL_HUMAN,GDP-L-fucose synthase OS=Homo sapiens GN=TSTA3 PE=1 SV=1,2.9472,0.4143,1.7325,0.9812,1.3531,4.3397,6
14580_RL22L_HUMAN,60S ribosomal protein L22-like 1 OS=Homo sapiens GN=RPL22L1 PE=1 SV=2,4.5730,4.5484,1.4590,1.3575,4.0182,4.2216,6
3743_CPNE3_HUMAN,Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,26.9379,6.6389,8.2180,13.0730,12.6448,16.6828,6
15635_SEPT7_HUMAN,Septin-7 OS=Homo sapiens GN=SEPT7 PE=1 SV=2,6.9482,0.4021,1.9473,3.1570,2.6031,8.1329,6
881_ANXA2_HUMAN,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2,73.8303,4.0713,28.1940,22.2197,34.7593,56.5199,6
8439_JIP4_HUMAN,C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens GN=SPAG9 PE=1 SV=4,10.9784,1.5524,2.4753,2.5266,4.0241,6.9634,6
2575_CD2AP_HUMAN,CD2-associated protein OS=Homo sapiens GN=CD2AP PE=1 SV=1,10.4760,0.7169,2.4510,2.4124,4.2125,5.1317,6
15637_SEPT9_HUMAN,Septin-9 OS=Homo sapiens GN=SEPT9 PE=1 SV=2,18.3655,1.1917,5.6339,7.2222,12.8238,22.3551,6
12927_PGK1_HUMAN,Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3,64.9578,13.9601,17.7677,15.0186,17.6253,24.6931,6
19014_WDR43_HUMAN,WD repeat-containing protein 43 OS=Homo sapiens GN=WDR43 PE=1 SV=3,4.5482,3.5207,2.0014,6.8215,3.8615,5.1283,6
9734_LTOR1_HUMAN,Ragulator complex protein LAMTOR1 OS=Homo sapiens GN=LAMTOR1 PE=1 SV=2,1.7527,0.5529,0.4926,0.3348,0.5591,0.9216,6
14217_RBMX_HUMAN,RNA-binding motif protein_ X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3,31.9710,0.3685,3.8779,11.5059,18.3376,20.8227,6
8349_ISOC1_HUMAN,Isochorismatase domain-containing protein 1 OS=Homo sapiens GN=ISOC1 PE=1 SV=3,5.3682,1.0734,0.5743,0.6295,0.3222,1.7497,6
18666_UK114_HUMAN,Ribonuclease UK114 OS=Homo sapiens GN=HRSP12 PE=1 SV=1,1.9450,0.1478,0.7894,0.2976,0.5346,1.4199,6
1506_BAF_HUMAN,Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1,8.1830,0.1152,1.2411,0.3064,0.5204,0.9164,6
3427_CNN3_HUMAN,Calponin-3 OS=Homo sapiens GN=CNN3 PE=1 SV=1,10.3536,0.8821,1.7117,1.7120,1.9596,2.5536,6
1288_AT5F1_HUMAN,ATP synthase F(0) complex subunit B1_ mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2,12.7077,2.7550,2.6222,2.0701,6.8348,5.8666,6
16685_STT3B_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Homo sapiens GN=STT3B PE=1 SV=1,20.8177,1.3178,6.4175,1.8096,2.9812,6.8755,6
2661_CDK1_HUMAN,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3,6.2641,0.7865,2.2228,2.7389,3.2724,10.3777,6
5089_EF1G_HUMAN,Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3,44.8277,9.5770,16.9967,14.5244,24.0971,35.8037,6
7725_HSP7C_HUMAN,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,210.5480,107.0181,63.1256,67.7558,89.8288,193.1840,6
7720_HSP71_HUMAN,Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5,138.7468,60.1986,44.5580,32.1899,35.5004,54.3951,6
12939_PGRC2_HUMAN,Membrane-associated progesterone receptor component 2 OS=Homo sapiens GN=PGRMC2 PE=1 SV=1,3.3530,0.2894,0.6371,0.3832,0.7337,1.8177,6
16793_SYEM_HUMAN,Probable glutamate--tRNA ligase_ mitochondrial OS=Homo sapiens GN=EARS2 PE=1 SV=2,2.2982,0.2347,0.5128,0.8811,0.5182,2.9888,6
17991_TPX2_HUMAN,Targeting protein for Xklp2 OS=Homo sapiens GN=TPX2 PE=1 SV=2,6.9568,10.4711,5.4673,2.6971,4.1392,6.4371,6
7359_HAP28_HUMAN,28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens GN=PDAP1 PE=1 SV=1,3.1926,0.4387,2.8418,1.5099,1.1771,2.8041,6
7171_GRP75_HUMAN,Stress-70 protein_ mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2,98.9612,32.7679,39.2011,26.6205,43.4812,78.1624,6
3591_COPB2_HUMAN,Coatomer subunit beta' OS=Homo sapiens GN=COPB2 PE=1 SV=2,27.8171,1.6491,8.9864,9.4226,12.3394,15.6440,6
11422_NOP10_HUMAN,H/ACA ribonucleoprotein complex subunit 3 OS=Homo sapiens GN=NOP10 PE=1 SV=1,0.8220,0.0478,0.1573,0.0296,0.3168,0.3386,6
7239_GTPC1_HUMAN,Putative GTP cyclohydrolase 1 type 2 NIF3L1 OS=Homo sapiens GN=NIF3L1 PE=1 SV=2,2.5501,8.6793,0.7562,3.3772,2.7517,0.6921,6
13898_PUR8_HUMAN,Adenylosuccinate lyase OS=Homo sapiens GN=ADSL PE=1 SV=2,10.8598,1.4021,1.9628,4.6583,4.6711,6.8303,6
414_ACTZ_HUMAN,Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=1 SV=1,23.9304,0.8821,5.7762,1.6087,3.5040,4.9364,6
6676_GEMI5_HUMAN,Gem-associated protein 5 OS=Homo sapiens GN=GEMIN5 PE=1 SV=3,23.6034,20.3204,7.1310,8.2724,31.5634,16.5303,6
13908_PUS7_HUMAN,Pseudouridylate synthase 7 homolog OS=Homo sapiens GN=PUS7 PE=1 SV=2,13.9659,3.4426,1.7858,2.2113,6.1659,2.8862,6
11450_NP1L1_HUMAN,Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1,38.5758,0.9294,14.9639,16.5492,9.8964,12.0793,6
5180_EIF3M_HUMAN,Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1,15.5077,3.8786,1.7596,2.1797,1.0628,5.0231,6
14014_RAB21_HUMAN,Ras-related protein Rab-21 OS=Homo sapiens GN=RAB21 PE=1 SV=3,1.9216,0.0807,0.7827,0.4526,1.5600,1.5497,6
14924_RS10_HUMAN,40S ribosomal protein S10 OS=Homo sapiens GN=RPS10 PE=1 SV=1,7.0361,3.3033,1.9021,2.7010,2.8536,4.7742,6
14596_RL35_HUMAN,60S ribosomal protein L35 OS=Homo sapiens GN=RPL35 PE=1 SV=2,5.1541,0.8130,0.8886,2.7674,3.0275,4.1705,6
11701_NUDT5_HUMAN,ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=1 SV=1,7.3176,0.6330,2.9717,1.9401,3.6423,5.5387,6
18838_VIGLN_HUMAN,Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2,63.3501,14.0979,8.5874,9.9033,10.0084,20.5186,6
5047_ECHA_HUMAN,Trifunctional enzyme subunit alpha_ mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2,23.5142,14.4889,8.7289,7.7205,9.2679,18.0155,6
1845_BZW2_HUMAN,Basic leucine zipper and W2 domain-containing protein 2 OS=Homo sapiens GN=BZW2 PE=1 SV=1,2.3488,0.6213,0.7085,0.8319,1.9005,3.2823,6
11716_NUP54_HUMAN,Nucleoporin p54 OS=Homo sapiens GN=NUP54 PE=1 SV=2,19.6115,0.6593,7.6944,3.6373,21.4757,14.9490,6
9624_LRC59_HUMAN,Leucine-rich repeat-containing protein 59 OS=Homo sapiens GN=LRRC59 PE=1 SV=1,13.4182,25.5219,4.5929,6.7526,6.3500,15.0524,6
2763_CECR5_HUMAN,Cat eye syndrome critical region protein 5 OS=Homo sapiens GN=CECR5 PE=1 SV=1,9.6814,0.3424,2.1402,1.1884,1.9918,11.3385,6
13278_PMM2_HUMAN,Phosphomannomutase 2 OS=Homo sapiens GN=PMM2 PE=1 SV=1,0.9871,0.0979,0.2732,0.6399,2.3224,2.1673,6
815_ANM5_HUMAN,Protein arginine N-methyltransferase 5 OS=Homo sapiens GN=PRMT5 PE=1 SV=4,21.1883,0.9713,5.1500,6.5345,9.6831,11.8308,6
4731_DNJC9_HUMAN,DnaJ homolog subfamily C member 9 OS=Homo sapiens GN=DNAJC9 PE=1 SV=1,11.1753,1.0616,5.3089,0.4720,2.3466,1.3297,6
14588_RL27_HUMAN,60S ribosomal protein L27 OS=Homo sapiens GN=RPL27 PE=1 SV=2,11.5049,1.4001,3.2881,3.0234,5.4187,7.5037,6
13750_PSD11_HUMAN,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens GN=PSMD11 PE=1 SV=3,26.9820,15.3129,10.4786,2.6575,5.6036,10.4611,6
13228_PLOD1_HUMAN,Procollagen-lysine_2-oxoglutarate 5-dioxygenase 1 OS=Homo sapiens GN=PLOD1 PE=1 SV=2,18.0018,7.4261,4.9997,2.8624,4.7914,7.1009,6
10255_METK2_HUMAN,S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens GN=MAT2A PE=1 SV=1,10.5428,0.6091,5.5088,3.6076,10.1032,22.9607,6
3299_CLH1_HUMAN,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,187.8654,206.4949,65.8272,53.8111,76.8326,131.8478,6
6171_FKBP4_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens GN=FKBP4 PE=1 SV=3,54.3646,29.1875,17.2216,10.0175,21.0499,39.4877,6
14247_RCC1_HUMAN,Regulator of chromosome condensation OS=Homo sapiens GN=RCC1 PE=1 SV=1,12.1065,0.3213,3.3124,4.7812,3.6931,9.1248,6
4448_DDX42_HUMAN,ATP-dependent RNA helicase DDX42 OS=Homo sapiens GN=DDX42 PE=1 SV=1,9.8692,5.1529,6.2362,4.0389,3.4015,9.1868,6
4713_DNJA3_HUMAN,DnaJ homolog subfamily A member 3_ mitochondrial OS=Homo sapiens GN=DNAJA3 PE=1 SV=2,8.0266,3.2041,1.9119,1.2778,0.3398,4.6175,6
14595_RL35A_HUMAN,60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2,7.4822,0.6373,2.2691,2.6813,3.6414,5.7167,6
4115_CUL1_HUMAN,Cullin-1 OS=Homo sapiens GN=CUL1 PE=1 SV=2,10.5564,1.1307,5.8654,2.7106,6.1410,7.3208,6
4643_DKC1_HUMAN,H/ACA ribonucleoprotein complex subunit 4 OS=Homo sapiens GN=DKC1 PE=1 SV=3,10.4971,12.1375,1.8283,1.0803,0.8471,0.9769,6
5545_EZRI_HUMAN,Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4,173.0701,88.8702,41.2179,35.3352,76.0185,116.6460,6
6186_FLNB_HUMAN,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2,179.1829,83.5527,39.4367,23.1519,33.6888,61.5079,6
13776_PSMD5_HUMAN,26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens GN=PSMD5 PE=1 SV=3,16.3128,13.2670,3.7017,5.0015,8.5590,13.6333,6
11416_NOLC1_HUMAN,Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1 PE=1 SV=2,31.7482,1.0923,8.5357,8.5707,11.3044,18.1104,6
4415_DDB1_HUMAN,DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1,60.7672,31.9071,12.1565,15.9231,23.6674,26.0648,6
18940_VTA1_HUMAN,Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens GN=VTA1 PE=1 SV=1,6.9440,1.4558,3.5749,0.7929,2.8393,1.6449,6
4463_DDX5_HUMAN,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,35.5543,2.1910,9.5254,8.3705,16.0146,42.6048,6
16005_SMC4_HUMAN,Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2,14.2082,5.2702,7.7685,2.6664,4.3305,5.8853,6
3964_CSN2_HUMAN,COP9 signalosome complex subunit 2 OS=Homo sapiens GN=COPS2 PE=1 SV=1,7.9476,2.8182,1.8866,8.1018,3.8802,3.9894,6
1312_ATD3B_HUMAN,ATPase family AAA domain-containing protein 3B OS=Homo sapiens GN=ATAD3B PE=1 SV=1,11.9424,0.0777,4.0194,1.9808,4.8935,5.6787,6
10368_MIPEP_HUMAN,Mitochondrial intermediate peptidase OS=Homo sapiens GN=MIPEP PE=1 SV=2,11.2215,1.6882,2.0236,2.0708,2.3703,3.2043,6
17903_TOP1_HUMAN,DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2,46.8836,2.2297,11.3416,14.1331,24.1815,34.0727,6
11683_NUCL_HUMAN,Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3,87.9948,1.8757,46.5802,51.4477,75.8445,93.0851,6
11403_NOG1_HUMAN,Nucleolar GTP-binding protein 1 OS=Homo sapiens GN=GTPBP4 PE=1 SV=3,8.7525,4.2005,3.2364,4.7890,8.5555,7.6397,6
4470_DECR_HUMAN,2_4-dienoyl-CoA reductase_ mitochondrial OS=Homo sapiens GN=DECR1 PE=1 SV=1,6.9065,3.2413,1.0243,2.1750,1.8213,1.3323,6
11122_NDUA9_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9_ mitochondrial OS=Homo sapiens GN=NDUFA9 PE=1 SV=2,13.9059,3.1330,3.4373,2.0292,3.3787,5.0586,6
19208_YBOX3_HUMAN,Y-box-binding protein 3 OS=Homo sapiens GN=YBX3 PE=1 SV=4,3.8681,0.4577,1.1348,1.6899,1.4485,3.9928,6
11202_NEST_HUMAN,Nestin OS=Homo sapiens GN=NES PE=1 SV=2,32.6618,10.1580,2.8711,7.5664,4.7592,5.1993,6
8768_KDM3B_HUMAN,Lysine-specific demethylase 3B OS=Homo sapiens GN=KDM3B PE=1 SV=2,10.9250,0.9884,4.1017,4.3574,5.2577,7.9070,6
2973_CHD4_HUMAN,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens GN=CHD4 PE=1 SV=2,30.0728,16.7366,8.3243,14.7467,13.8757,43.7635,6
11282_NHRF1_HUMAN,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens GN=SLC9A3R1 PE=1 SV=4,8.5793,3.6002,3.0026,1.9323,4.5951,5.6181,6
14613_RL5_HUMAN,60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3,35.0801,20.0570,10.5081,11.7529,18.9368,19.9636,6
15015_RT34_HUMAN,28S ribosomal protein S34_ mitochondrial OS=Homo sapiens GN=MRPS34 PE=1 SV=2,5.6056,0.7968,1.6363,0.9433,1.2023,2.9909,6
16807_SYK_HUMAN,Lysine--tRNA ligase OS=Homo sapiens GN=KARS PE=1 SV=3,25.6639,5.3753,8.3836,14.1864,15.1059,19.1220,6
14063_RAC2_HUMAN,Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens GN=RAC2 PE=1 SV=1,0.7120,0.0577,0.3677,0.3251,0.5032,0.6899,6
5169_EIF3B_HUMAN,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3,47.7749,13.7991,19.9325,16.0034,16.4487,24.7536,6
517_ADT3_HUMAN,ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4,5.7875,1.3216,2.1425,4.4841,0.9796,3.2954,6
12898_PFKAL_HUMAN,ATP-dependent 6-phosphofructokinase_ liver type OS=Homo sapiens GN=PFKL PE=1 SV=6,16.4031,1.8532,2.6880,3.8669,6.9553,9.7233,6
12304_OSBL8_HUMAN,Oxysterol-binding protein-related protein 8 OS=Homo sapiens GN=OSBPL8 PE=1 SV=3,17.5369,3.0725,5.1715,12.5993,2.6805,6.1424,6
907_AP2A2_HUMAN,AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=1 SV=2,9.4258,0.3638,1.6949,1.4574,2.6868,6.0013,6
18782_VAT1_HUMAN,Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=1 SV=2,27.4809,3.0662,2.7225,2.9823,4.6669,6.1561,6
14949_RS30_HUMAN,40S ribosomal protein S30 OS=Homo sapiens GN=FAU PE=1 SV=1,2.9755,0.3939,0.4526,1.1990,0.5075,0.5754,6
6452_G6PD_HUMAN,Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD PE=1 SV=4,24.8143,1.3966,9.1924,5.8448,24.2126,10.4998,6
14929_RS15A_HUMAN,40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2,13.7230,1.4216,3.9998,5.9502,6.6053,13.7047,6
9709_LSM2_HUMAN,U6 snRNA-associated Sm-like protein LSm2 OS=Homo sapiens GN=LSM2 PE=1 SV=1,1.5850,0.1386,0.5025,0.3048,0.2481,0.4011,6
