protein.Accession,protein.Description,1 None,2 None,3 None,1 TGFB,2 TGFB,3 TGFB
P06280,Alpha-galactosidase A OS=Homo sapiens GN=GLA PE=1 SV=1,76.6284,73.6869,451.7103,155.2335,78.3045,105.741
O15228,Dihydroxyacetone phosphate acyltransferase OS=Homo sapiens GN=GNPAT PE=1 SV=1,27.495,30.219,176.7894,80.8107,42.222,429.5682
Q9Y6E2,Basic leucine zipper and W2 domain-containing protein 2 OS=Homo sapiens GN=BZW2 PE=1 SV=1,57.0894,44.6286,254.9358,73.2867,67.0755,64.9002
O15321,Transmembrane 9 superfamily member 1 OS=Homo sapiens GN=TM9SF1 PE=2 SV=2,127.8978,149.3757,792.9573,365.1075,149.616,168.7479
Q9Y6E0,Serine/threonine-protein kinase 24 OS=Homo sapiens GN=STK24 PE=1 SV=1,38.3703,39.966,375.4956,146.0277,103.6512,54.8787
Q09161,Nuclear cap-binding protein subunit 1 OS=Homo sapiens GN=NCBP1 PE=1 SV=1,89.6964,112.9302,384.8496,157.5168,154.5267,145.746
Q9Y4G6,Talin-2 OS=Homo sapiens GN=TLN2 PE=1 SV=4,200.6412,39.9519,582.6216,177.7191,67.2897,244.1112
Q14568,Putative heat shock protein HSP 90-alpha A2 OS=Homo sapiens GN=HSP90AA2 PE=1 SV=2,9.4623,17.7687,396.2529,41.2887,32.8533,11.8359
O60763,General vesicular transport factor p115 OS=Homo sapiens GN=USO1 PE=1 SV=2,403.3434,404.5716,2131.8375,766.2453,514.4508,481.5234
Q14566,DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1,211.1985,165.936,656.0916,431.2203,252.1206,217.1817
Q15185,Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=1 SV=1,46.5915,97.2528,457.0857,290.4093,158.0745,216.1467
Q15181,Inorganic pyrophosphatase OS=Homo sapiens GN=PPA1 PE=1 SV=2,122.4696,289.2159,1164.4236,443.2992,302.2761,217.872
P17844,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,150.4071,438.3207,2477.2659,793.293,708.8391,463.9065
P58335,Anthrax toxin receptor 2 OS=Homo sapiens GN=ANTXR2 PE=1 SV=5,68.8785,69.4173,375.9474,186.0021,102.6717,80.9109
Q9H115,Beta-soluble NSF attachment protein OS=Homo sapiens GN=NAPB PE=1 SV=2,94.8126,26.9028,699.8757,672.7761,139.2474,143.8848
P41219,Peripherin OS=Homo sapiens GN=PRPH PE=1 SV=2,39.6354,55.5153,126.8202,36.0489,27.348,35.6706
O95678,Keratin_ type II cytoskeletal 75 OS=Homo sapiens GN=KRT75 PE=1 SV=2,20.0244,172.0971,197.5077,115.5831,105.8334,19.7358
P41214,Eukaryotic translation initiation factor 2D OS=Homo sapiens GN=EIF2D PE=1 SV=3,70.9815,223.9569,360.8631,703.0161,304.9824,68.2224
O94906,Pre-mRNA-processing factor 6 OS=Homo sapiens GN=PRPF6 PE=1 SV=1,94.5234,33.0288,344.4324,163.3908,154.7706,93.6891
O94905,Erlin-2 OS=Homo sapiens GN=ERLIN2 PE=1 SV=1,42.8184,66.4029,747.1785,146.5248,92.6226,154.833
Q2TAY7,WD40 repeat-containing protein SMU1 OS=Homo sapiens GN=SMU1 PE=1 SV=2,199.3674,235.0101,949.4022,475.9869,281.2005,91.6305
Q92526,T-complex protein 1 subunit zeta-2 OS=Homo sapiens GN=CCT6B PE=1 SV=5,44.6682,75.5976,343.7472,50.2371,20.5731,92.5557
Q9H361,Polyadenylate-binding protein 3 OS=Homo sapiens GN=PABPC3 PE=1 SV=2,18.5715,36.4749,69.2022,56.6364,142.7547,75.5628
O43242,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=1 SV=2,539.2098,793.3995,4035.108,1300.1508,973.8036,621.0984
Q8N3C0,Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3 PE=1 SV=3,123.6567,120.5433,635.4243,752.1324,263.8074,141.2664
O43795,Unconventional myosin-Ib OS=Homo sapiens GN=MYO1B PE=2 SV=3,318.5169,249.1008,890.3856,374.3025,398.2884,219.3384
Q8N684,Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens GN=CPSF7 PE=1 SV=1,39.3426,71.1291,363.4215,192.1446,96.9426,66.0015
P53634,Dipeptidyl peptidase 1 OS=Homo sapiens GN=CTSC PE=1 SV=2,198.5193,357.3618,1256.82,621.4017,491.8542,304.9557
Q562R1,Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2,838.0662,209.3259,1091.6361,794.9172,178.794,414.2775
Q14108,Lysosome membrane protein 2 OS=Homo sapiens GN=SCARB2 PE=1 SV=2,124.7703,112.7079,522.9231,529.8885,256.089,172.035
Q9Y3Y2,Chromatin target of PRMT1 protein OS=Homo sapiens GN=CHTOP PE=1 SV=2,77.2809,123.5163,306.6894,146.448,257.5827,130.794
Q02878,60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3,340.1505,1012.4922,3505.212,1388.226,1221.1047,941.4609
P27449,V-type proton ATPase 16 kDa proteolipid subunit OS=Homo sapiens GN=ATP6V0C PE=1 SV=1,41.9616,483.3618,1176.4008,286.4154,587.9262,131.967
P16152,Carbonyl reductase [NADPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3,742.626,571.4064,2883.3627,961.2183,478.5852,777.6222
O75165,DnaJ homolog subfamily C member 13 OS=Homo sapiens GN=DNAJC13 PE=1 SV=5,228.9531,416.6082,811.2594,271.2771,161.9529,179.3421
P99999,Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2,125.1489,511.5219,2166.6855,1037.1021,663.1191,533.6418
P06865,Beta-hexosaminidase subunit alpha OS=Homo sapiens GN=HEXA PE=1 SV=2,149.8155,152.0487,477.2367,142.8651,310.9164,235.9419
P30876,DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens GN=POLR2B PE=1 SV=1,114.5871,113.0877,397.5228,159.1041,270.2025,87.8985
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,189.9561,137.4261,447.9255,222.5226,163.1979,68.3763
O75367,Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4,28.695,221.0214,850.7961,451.572,353.7705,302.5941
P26640,Valine--tRNA ligase OS=Homo sapiens GN=VARS PE=1 SV=4,427.9845,642.5865,2734.7604,1237.3206,796.0182,583.3803
P26641,Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3,652.1403,866.175,3960.585,1600.7466,1501.1145,895.6005
Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2,487.2183,278.6757,917.0298,533.9826,479.8104,356.3421
O75368,SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL PE=1 SV=1,90.9786,186.8919,442.2342,391.1097,263.4588,202.1694
O75369,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2,247.8099,402.2268,1918.2684,1098.0309,670.2,519.8304
P60709,Actin_ cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1,519.9768,3086.973,9999.384,4463.001,2067.066,801.2055
O14787,Transportin-2 OS=Homo sapiens GN=TNPO2 PE=1 SV=3,62.0175,52.2543,153.9015,127.1313,98.5962,27.0963
P40763,Signal transducer and activator of transcription 3 OS=Homo sapiens GN=STAT3 PE=1 SV=2,123.1902,243.2841,559.5045,295.8366,251.2446,166.3071
Q9NUU7,ATP-dependent RNA helicase DDX19A OS=Homo sapiens GN=DDX19A PE=1 SV=1,91.4568,47.2689,197.4153,114.789,36.5946,63.5463
Q13347,Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3I PE=1 SV=1,337.9404,285.0399,1824.1479,635.9856,431.5299,387.84
P49411,Elongation factor Tu_ mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2,542.7405,752.8023,4313.178,1421.568,660.9672,529.9779
P49419,Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens GN=ALDH7A1 PE=1 SV=5,58.4865,280.1601,516.6672,271.9236,251.2275,261.7041
P21980,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2,143.3616,303.0939,1514.8308,846.5127,368.5593,373.701
P62491,Ras-related protein Rab-11A OS=Homo sapiens GN=RAB11A PE=1 SV=3,3.3333,26.4162,96.9408,11.4165,11.2026,82.6257
P61619,Protein transport protein Sec61 subunit alpha isoform 1 OS=Homo sapiens GN=SEC61A1 PE=1 SV=2,124.5519,108.8715,1297.6335,578.709,283.113,318.444
P62495,Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens GN=ETF1 PE=1 SV=3,128.085,222.9321,829.9674,474.4641,415.9017,158.4459
Q9NYU1,UDP-glucose:glycoprotein glucosyltransferase 2 OS=Homo sapiens GN=UGGT2 PE=1 SV=4,174.7632,158.3088,652.8183,317.103,350.7447,139.4184
Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3,586.6779,397.476,1440.1974,903.4305,581.2305,366.4026
P50395,Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2,274.6299,829.2945,3584.397,1401.9846,977.8671,665.16
Q3KQV9,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Homo sapiens GN=UAP1L1 PE=2 SV=2,29.1105,44.2386,114.9,106.8102,41.2755,46.1826
P49773,Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2,560.2155,808.9332,2770.0371,1359.8325,822.6678,601.1274
Q13641,Trophoblast glycoprotein OS=Homo sapiens GN=TPBG PE=1 SV=1,296.607,512.9565,2375.5755,1404.2772,728.1669,430.2198
P49770,Translation initiation factor eIF-2B subunit beta OS=Homo sapiens GN=EIF2B2 PE=1 SV=3,123.2979,104.6814,349.3515,148.5174,91.2171,113.7174
P25205,DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3,249.7986,153.816,961.4163,457.1565,365.1333,267.5115
Q16186,Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens GN=ADRM1 PE=1 SV=2,57.9774,122.0838,335.5164,346.2585,172.1892,72.024
P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens GN=PPP1CB PE=1 SV=3,65.6235,66.7467,1009.5396,171.5856,210.7203,277.3647
O15523,ATP-dependent RNA helicase DDX3Y OS=Homo sapiens GN=DDX3Y PE=1 SV=2,15.8232,86.6847,550.4679,11.3931,56.7921,103.4772
Q16181,Septin-7 OS=Homo sapiens GN=SEPT7 PE=1 SV=2,131.9304,519.6102,3035.637,1198.7391,688.1643,453.8094
Q6ZTN6,Ankyrin repeat domain-containing protein 13D OS=Homo sapiens GN=ANKRD13D PE=1 SV=2,43.5315,20.5845,193.8594,27.6672,21.5307,10.7394
Q96B97,SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens GN=SH3KBP1 PE=1 SV=2,88.8213,104.9316,571.5279,137.4393,159.435,125.5845
Q96M27,Protein PRRC1 OS=Homo sapiens GN=PRRC1 PE=1 SV=1,184.3008,273.4527,1550.73,634.4106,354.2895,411.0252
Q9H0B6,Kinesin light chain 2 OS=Homo sapiens GN=KLC2 PE=1 SV=1,98.0568,63.9795,415.266,143.2749,78.366,61.2546
Q9BYN0,Sulfiredoxin-1 OS=Homo sapiens GN=SRXN1 PE=1 SV=2,115.7829,50.8887,315.195,116.8521,166.9182,103.4313
Q13733,Sodium/potassium-transporting ATPase subunit alpha-4 OS=Homo sapiens GN=ATP1A4 PE=1 SV=3,10.9389,17.3517,95.0148,178.9185,173.172,10.3494
P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens GN=PRKAR1A PE=1 SV=1,429.4767,489.3219,2556.8415,974.0715,821.2644,479.3043
P48556,26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens GN=PSMD8 PE=1 SV=2,189.0852,134.1231,922.8939,340.2168,421.2015,160.5297
O15067,Phosphoribosylformylglycinamidine synthase OS=Homo sapiens GN=PFAS PE=1 SV=4,161.2071,164.7894,1088.7435,535.9704,276.7809,155.0547
P60891,Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens GN=PRPS1 PE=1 SV=2,283.818,270.3927,934.8375,248.6217,213.3432,170.0124
P07099,Epoxide hydrolase 1 OS=Homo sapiens GN=EPHX1 PE=1 SV=1,297.9687,199.0389,1228.8732,437.0034,315.6657,243.1572
Q9NZM1,Myoferlin OS=Homo sapiens GN=MYOF PE=1 SV=1,583.5942,497.0916,2049.8142,753.5073,636.4944,451.1229
Q7Z3E5,LisH domain-containing protein ARMC9 OS=Homo sapiens GN=ARMC9 PE=2 SV=2,126.4653,88.8795,281.3382,128.6307,100.3794,121.1631
A6NNZ2,Tubulin beta-8 chain-like protein LOC260334 OS=Homo sapiens PE=1 SV=1,14.5764,15.3345,50.6937,30.8742,11.1951,21.2475
O75962,Triple functional domain protein OS=Homo sapiens GN=TRIO PE=1 SV=2,143.7759,319.3647,1394.4831,435.4329,388.6008,209.4696
P69905,Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2,55.4751,439.9773,2355.171,1161.6984,244.812,308.4126
P30519,Heme oxygenase 2 OS=Homo sapiens GN=HMOX2 PE=1 SV=2,191.0454,215.7354,1408.581,740.7171,215.9034,185.2071
Q12788,Transducin beta-like protein 3 OS=Homo sapiens GN=TBL3 PE=1 SV=2,121.4241,123.747,664.1271,336.2058,181.7184,133.4163
Q7Z4H8,KDEL motif-containing protein 2 OS=Homo sapiens GN=KDELC2 PE=1 SV=2,118.1886,178.8735,686.2512,279.2757,256.8666,157.6602
Q9UNF1,Melanoma-associated antigen D2 OS=Homo sapiens GN=MAGED2 PE=1 SV=2,39.7278,36.9303,278.586,130.8723,123.3333,77.7531
Q7Z4H3,HD domain-containing protein 2 OS=Homo sapiens GN=HDDC2 PE=1 SV=1,71.8512,96.7533,468.4983,346.32,83.4087,43.5858
O75746,Calcium-binding mitochondrial carrier protein Aralar1 OS=Homo sapiens GN=SLC25A12 PE=1 SV=2,128.247,74.5677,319.4325,203.7672,224.6142,84.8682
P42766,60S ribosomal protein L35 OS=Homo sapiens GN=RPL35 PE=1 SV=2,287.166,327.8628,899.9493,574.0884,736.3422,603.2943
Q8TAA3,Proteasome subunit alpha type-7-like OS=Homo sapiens GN=PSMA8 PE=1 SV=3,189.5565,37.5708,533.9358,97.0419,8.3502,21.6165
O15061,Synemin OS=Homo sapiens GN=SYNM PE=1 SV=2,139.5489,252.3225,219.0183,159.4014,51.4434,79.5861
P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,758.9292,1765.818,7675.041,2190.8481,2753.436,1500.1209
P17066,Heat shock 70 kDa protein 6 OS=Homo sapiens GN=HSPA6 PE=1 SV=2,389.6256,73.8477,92.6037,76.623,82.9104,130.5363
Q01813,6-phosphofructokinase type C OS=Homo sapiens GN=PFKP PE=1 SV=2,430.8621,789.2394,3644.427,1001.5659,746.9538,428.76
P49792,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens GN=RANBP2 PE=1 SV=2,135.8028,110.4915,203.8656,200.334,147.1059,138.2532
P56545,C-terminal-binding protein 2 OS=Homo sapiens GN=CTBP2 PE=1 SV=1,148.8624,122.0406,531.1938,89.2806,198.5295,131.1483
Q8TDI0,Chromodomain-helicase-DNA-binding protein 5 OS=Homo sapiens GN=CHD5 PE=1 SV=1,39.045,36.1782,782.1447,224.1351,65.0829,150.5169
P51116,Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens GN=FXR2 PE=1 SV=2,647.193,141.7821,955.4508,345.9969,261.1953,124.9932
P51114,Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens GN=FXR1 PE=1 SV=3,334.4163,238.6866,615.0891,385.215,327.3588,198.7764
Q00341,Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2,845.4027,374.8242,1917.2541,743.4702,491.5428,401.1291
Q00610,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,1129.7814,1940.4105,7025.232,2629.9641,2376.7635,1694.9994
P78357,Contactin-associated protein 1 OS=Homo sapiens GN=CNTNAP1 PE=1 SV=1,43.9221,71.9712,407.1627,55.6077,52.3053,39.0285
O95336,6-phosphogluconolactonase OS=Homo sapiens GN=PGLS PE=1 SV=2,201.7335,91.6707,737.4789,270.0192,279.3201,203.3799
Q9UQ16,Dynamin-3 OS=Homo sapiens GN=DNM3 PE=1 SV=4,115.3827,76.3503,541.2906,114.9795,169.794,182.568
O60812,Heterogeneous nuclear ribonucleoprotein C-like 1 OS=Homo sapiens GN=HNRNPCL1 PE=1 SV=1,66.8754,1.8051,41.5104,3.3756,63.5559,41.0277
P09493,Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1 PE=1 SV=2,33.924,59.3667,243.7722,898.479,8.5551,372.0441
Q96T76,MMS19 nucleotide excision repair protein homolog OS=Homo sapiens GN=MMS19 PE=1 SV=2,103.932,91.3143,535.6194,233.8779,123.1728,151.7622
P31483,Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3,65.6868,121.7805,594.6981,229.7259,194.7111,13.4907
Q32MZ4,Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens GN=LRRFIP1 PE=1 SV=2,107.6583,243.4911,864.6144,437.7144,322.2984,202.5312
Q9Y617,Phosphoserine aminotransferase OS=Homo sapiens GN=PSAT1 PE=1 SV=2,29.8362,187.3623,679.119,441.6318,694.1094,198.2883
Q08170,Serine/arginine-rich splicing factor 4 OS=Homo sapiens GN=SRSF4 PE=1 SV=2,31.6521,35.9595,180.7611,15.3903,5.8149,10.0203
P07339,Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1,682.4226,1317.2028,5262.825,1649.4519,1647.4929,1289.1987
P18669,Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2,713.1054,1057.2816,4616.439,1389.1983,1041.6141,988.7088
P20340,Ras-related protein Rab-6A OS=Homo sapiens GN=RAB6A PE=1 SV=3,40.0653,68.97,360.6555,252.9432,41.2551,56.3421
Q7L5N1,COP9 signalosome complex subunit 6 OS=Homo sapiens GN=COPS6 PE=1 SV=1,83.4966,393.6171,1156.3605,487.473,319.0851,227.244
P16989,DNA-binding protein A OS=Homo sapiens GN=CSDA PE=1 SV=4,112.482,202.7214,1070.2902,525.4881,397.5237,214.8465
O00505,Importin subunit alpha-3 OS=Homo sapiens GN=KPNA3 PE=1 SV=2,46.1007,143.5491,375.5625,173.3826,223.9107,105.7482
Q9UKM9,RNA-binding protein Raly OS=Homo sapiens GN=RALY PE=1 SV=1,133.3377,465.2955,1977.5226,815.865,652.0947,286.3692
Q9UKM7,Endoplasmic reticulum mannosyl-oligosaccharide 1_2-alpha-mannosidase OS=Homo sapiens GN=MAN1B1 PE=1 SV=2,343.1745,132.6324,569.361,115.8204,78.3024,153.3693
Q9Y4P3,Transducin beta-like protein 2 OS=Homo sapiens GN=TBL2 PE=1 SV=1,128.7831,84.9012,1107.7464,444.9915,409.3758,331.9548
