protein.Accession,protein.Description,protein.fmolOnColumn -> 1+TGFB+1+to+12_IA_final_protein,protein.ngramOnColumn -> 1+TGFB+1+to+12_IA_final_protein,protein.fmolOnColumn -> 2+None+1+to+12_IA_final_protein,protein.ngramOnColumn -> 2+None+1+to+12_IA_final_protein,protein.fmolOnColumn -> LW_120613_1NONE_REPEAT_001_IA_final_protein,protein.ngramOnColumn -> LW_120613_1NONE_REPEAT_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_2TGFB_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_2TGFB_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_3NONE_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_3NONE_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_3TGFB_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_3TGFB_001_IA_final_protein,Present_NumFiles
Q09161,Nuclear cap-binding protein subunit 1 OS=Homo sapiens GN=NCBP1 PE=1 SV=1,52.5056,4.879,37.6434,3.4979,29.8988,2.7783,51.5089,4.7864,128.2832,11.9205,48.582,4.5144,6
Q9Y4G6,Talin-2 OS=Homo sapiens GN=TLN2 PE=1 SV=4,59.2397,16.2288,13.3173,3.6483,66.8804,18.322,22.4299,6.1447,194.2072,53.2034,81.3704,22.2915,6
Q14568,Putative heat shock protein HSP 90-alpha A2 OS=Homo sapiens GN=HSP90AA2 PE=1 SV=2,13.7629,0.5433,5.9229,0.2338,3.1541,0.1245,10.9511,0.4323,132.0843,5.2145,3.9453,0.1558,6
O60763,General vesicular transport factor p115 OS=Homo sapiens GN=USO1 PE=1 SV=2,255.4151,27.7912,134.8572,14.6735,134.4478,14.629,171.4836,18.6588,710.6125,77.3202,160.5078,17.4645,6
Q14566,DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1,143.7401,13.4913,55.312,5.1915,70.3995,6.6076,84.0402,7.8879,218.6972,20.5267,72.3939,6.7948,6
Q15185,Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=1 SV=1,96.8031,1.8376,32.4176,0.6154,15.5305,0.2948,52.6915,1.0002,152.3619,2.8922,72.0489,1.3677,6
Q15181,Inorganic pyrophosphatase OS=Homo sapiens GN=PPA1 PE=1 SV=2,147.7664,4.8935,96.4053,3.1926,40.8232,1.3519,100.7587,3.3368,388.1412,12.8538,72.624,2.405,6
P17844,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,264.431,18.4206,146.1069,10.178,50.1357,3.4925,236.2797,16.4596,825.7553,57.5233,154.6355,10.7721,6
P58335,Anthrax toxin receptor 2 OS=Homo sapiens GN=ANTXR2 PE=1 SV=5,62.0007,3.3662,23.1391,1.2563,22.9595,1.2466,34.2239,1.8581,125.3158,6.8038,26.9703,1.4643,6
Q9H115,Beta-soluble NSF attachment protein OS=Homo sapiens GN=NAPB PE=1 SV=2,224.2587,7.6022,8.9676,0.304,31.6042,1.0714,46.4158,1.5735,233.2919,7.9084,47.9616,1.6259,6
P41219,Peripherin OS=Homo sapiens GN=PRPH PE=1 SV=2,12.0163,0.6461,18.5051,0.9949,13.2118,0.7103,9.116,0.4901,42.2734,2.2728,11.8902,0.6393,6
O95678,Keratin_ type II cytoskeletal 75 OS=Homo sapiens GN=KRT75 PE=1 SV=2,38.5277,2.3057,57.3657,3.4331,6.6748,0.3995,35.2778,2.1112,65.8359,3.94,6.5786,0.3937,6
P41214,Eukaryotic translation initiation factor 2D OS=Homo sapiens GN=EIF2D PE=1 SV=3,234.3387,15.3103,74.6523,4.8773,23.6605,1.5458,101.6608,6.6419,120.2877,7.8589,22.7408,1.4857,6
O94906,Pre-mRNA-processing factor 6 OS=Homo sapiens GN=PRPF6 PE=1 SV=1,54.4636,5.867,11.0096,1.186,31.5078,3.3941,51.5902,5.5575,114.8108,12.3678,31.2297,3.3642,6
O94905,Erlin-2 OS=Homo sapiens GN=ERLIN2 PE=1 SV=1,48.8416,1.8593,22.1343,0.8426,14.2728,0.5433,30.8742,1.1753,249.0595,9.4811,51.611,1.9647,6
Q2TAY7,WD40 repeat-containing protein SMU1 OS=Homo sapiens GN=SMU1 PE=1 SV=2,158.6623,9.2296,78.3367,4.5569,66.4558,3.8658,93.7335,5.4526,316.4674,18.4093,30.5435,1.7768,6
Q92526,T-complex protein 1 subunit zeta-2 OS=Homo sapiens GN=CCT6B PE=1 SV=5,16.7457,0.9778,25.1992,1.4714,14.8894,0.8694,6.8577,0.4004,114.5824,6.6907,30.8519,1.8015,6
Q9H361,Polyadenylate-binding protein 3 OS=Homo sapiens GN=PABPC3 PE=1 SV=2,18.8788,1.3264,12.1583,0.8542,6.1905,0.4349,47.5849,3.3433,23.0674,1.6207,25.1876,1.7697,6
O43242,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=1 SV=2,433.3836,26.4761,264.4665,16.1567,179.7366,10.9804,324.6012,19.8304,1345.036,82.1706,207.0328,12.648,6
Q8N3C0,Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3 PE=1 SV=3,250.7108,63.4443,40.1811,10.1681,41.2189,10.4308,87.9358,22.2528,211.8081,53.5996,47.0888,11.9162,6
O43795,Unconventional myosin-Ib OS=Homo sapiens GN=MYO1B PE=2 SV=3,124.7675,16.5955,83.0336,11.0444,106.1723,14.1222,132.7628,17.659,296.7952,39.4772,73.1128,9.7249,6
Q8N684,Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens GN=CPSF7 PE=1 SV=1,64.0482,3.3447,23.7097,1.2382,13.1142,0.6848,32.3142,1.6875,121.1405,6.3261,22.0005,1.1489,6
P53634,Dipeptidyl peptidase 1 OS=Homo sapiens GN=CTSC PE=1 SV=2,207.1339,10.9061,119.1206,6.272,66.1731,3.4842,163.9514,8.6324,418.94,22.0582,101.6519,5.3522,6
Q562R1,Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2,264.9724,11.2204,69.7753,2.9547,279.3554,11.8294,59.598,2.5237,363.8787,15.4086,138.0925,5.8476,6
Q14108,Lysosome membrane protein 2 OS=Homo sapiens GN=SCARB2 PE=1 SV=2,176.6295,9.6698,37.5693,2.0568,41.5901,2.2769,85.363,4.6733,174.3077,9.5427,57.345,3.1394,6
Q9Y3Y2,Chromatin target of PRMT1 protein OS=Homo sapiens GN=CHTOP PE=1 SV=2,48.816,1.2886,41.1721,1.0868,25.7603,0.68,85.8609,2.2664,102.2298,2.6985,43.598,1.1508,6
Q02878,60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3,462.742,15.171,337.4974,11.0649,113.3835,3.7173,407.0349,13.3446,1168.404,38.3061,313.8203,10.2886,6
P27449,V-type proton ATPase 16 kDa proteolipid subunit OS=Homo sapiens GN=ATP6V0C PE=1 SV=1,95.4718,1.5023,161.1206,2.5354,13.9872,0.2201,195.9754,3.0838,392.1336,6.1705,43.989,0.6922,6
P16152,Carbonyl reductase [NADPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3,320.4061,9.8237,190.4688,5.8398,247.542,7.5897,159.5284,4.8912,961.1209,29.4681,259.2074,7.9473,6
O75165,DnaJ homolog subfamily C member 13 OS=Homo sapiens GN=DNAJC13 PE=1 SV=5,90.4257,23.212,138.8694,35.6473,76.3177,19.5905,53.9843,13.8576,270.4198,69.4158,59.7807,15.3455,6
P99999,Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2,345.7007,4.101,170.5073,2.0227,41.7163,0.4949,221.0397,2.6222,722.2285,8.5677,177.8806,2.1102,6
P06865,Beta-hexosaminidase subunit alpha OS=Homo sapiens GN=HEXA PE=1 SV=2,47.6217,2.9125,50.6829,3.0997,49.9385,3.0542,103.6388,6.3385,159.0789,9.7291,78.6473,4.81,6
P30876,DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens GN=POLR2B PE=1 SV=1,53.0347,7.1768,37.6959,5.1011,38.1957,5.1687,90.0675,12.1882,132.5076,17.9313,29.2995,3.9649,6
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,74.1742,19.9735,45.8087,12.3353,63.3187,17.0503,54.3993,14.6485,149.3085,40.2054,22.7921,6.1374,6
O75367,Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4,150.524,5.9891,73.6738,2.9313,9.565,0.3806,117.9235,4.692,283.5987,11.2839,100.8647,4.0132,6
P26640,Valine--tRNA ligase OS=Homo sapiens GN=VARS PE=1 SV=4,412.4402,58.4555,214.1955,30.3581,142.6615,20.2195,265.3394,37.6068,911.5868,129.1999,194.4601,27.561,6
P26641,Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3,533.5822,26.9251,288.725,14.5694,217.3801,10.9692,500.3715,25.2493,1320.195,66.6184,298.5335,15.0643,6
Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2,177.9942,19.021,92.8919,9.9267,162.4061,17.3552,159.9368,17.0913,305.6766,32.6655,118.7807,12.6933,6
O75368,SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL PE=1 SV=1,130.3699,1.6654,62.2973,0.7958,30.3262,0.3874,87.8196,1.1218,147.4114,1.8831,67.3898,0.8609,6
O75369,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2,366.0103,102.6042,134.0756,37.5856,82.6033,23.1563,223.4,62.626,639.4228,179.2503,173.2768,48.5749,6
P60709,Actin_ cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1,1487.667,62.5995,1028.991,43.2989,173.3256,7.2934,689.022,28.9934,3333.128,140.2548,267.0685,11.238,6
O14787,Transportin-2 OS=Homo sapiens GN=TNPO2 PE=1 SV=3,42.3771,4.3618,17.4181,1.7928,20.6725,2.1278,32.8654,3.3828,51.3005,5.2803,9.0321,0.9297,6
P40763,Signal transducer and activator of transcription 3 OS=Homo sapiens GN=STAT3 PE=1 SV=2,98.6122,8.7633,81.0947,7.2066,41.0634,3.6492,83.7482,7.4424,186.5015,16.5737,55.4357,4.9264,6
Q9NUU7,ATP-dependent RNA helicase DDX19A OS=Homo sapiens GN=DDX19A PE=1 SV=1,38.263,2.0827,15.7563,0.8576,30.4856,1.6594,12.1982,0.664,65.8051,3.5819,21.1821,1.153,6
Q13347,Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3I PE=1 SV=1,211.9952,7.8229,95.0133,3.5061,112.6468,4.1568,143.8433,5.308,608.0493,22.4377,129.28,4.7706,6
P49411,Elongation factor Tu_ mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2,473.856,23.6377,250.9341,12.5175,180.9135,9.0247,220.3224,10.9905,1437.726,71.7192,176.6593,8.8124,6
P49419,Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens GN=ALDH7A1 PE=1 SV=5,90.6412,5.353,93.3867,5.5152,19.4955,1.1514,83.7425,4.9456,172.2224,10.171,87.2347,5.1519,6
P21980,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2,282.1709,22.1418,101.0313,7.9279,47.7872,3.7498,122.8531,9.6402,504.9436,39.6227,124.567,9.7747,6
P62491,Ras-related protein Rab-11A OS=Homo sapiens GN=RAB11A PE=1 SV=3,3.8055,0.0933,8.8054,0.2158,1.1111,0.0272,3.7342,0.0915,32.3136,0.7919,27.5419,0.675,6
P61619,Protein transport protein Sec61 subunit alpha isoform 1 OS=Homo sapiens GN=SEC61A1 PE=1 SV=2,192.903,10.1701,36.2905,1.9133,41.5173,2.1888,94.371,4.9753,432.5445,22.8042,106.148,5.5962,6
P62495,Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens GN=ETF1 PE=1 SV=3,158.1547,7.7906,74.3107,3.6605,42.695,2.1031,138.6339,6.829,276.6558,13.6278,52.8153,2.6016,6
Q9NYU1,UDP-glucose:glycoprotein glucosyltransferase 2 OS=Homo sapiens GN=UGGT2 PE=1 SV=4,105.701,18.536,52.7696,9.2538,58.2544,10.2157,116.9149,20.5025,217.6061,38.16,46.4728,8.1496,6
Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3,301.1435,53.5828,132.492,23.5745,195.5593,34.7961,193.7435,34.473,480.0658,85.4187,122.1342,21.7315,6
P50395,Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2,467.3282,23.8896,276.4315,14.1311,91.5433,4.6797,325.9557,16.6627,1194.799,61.0776,221.72,11.3342,6
Q3KQV9,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Homo sapiens GN=UAP1L1 PE=2 SV=2,35.6034,2.0508,14.7462,0.8494,9.7035,0.5589,13.7585,0.7925,38.3,2.2061,15.3942,0.8867,6
P49773,Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2,453.2775,6.3078,269.6444,3.7524,186.7385,2.5987,274.2226,3.8161,923.3457,12.8493,200.3758,2.7884,6
Q13641,Trophoblast glycoprotein OS=Homo sapiens GN=TPBG PE=1 SV=1,468.0924,21.8141,170.9855,7.9683,98.869,4.6075,242.7223,11.3114,791.8585,36.9023,143.4066,6.6831,6
P49770,Translation initiation factor eIF-2B subunit beta OS=Homo sapiens GN=EIF2B2 PE=1 SV=3,49.5058,1.9415,34.8938,1.3685,41.0993,1.6118,30.4057,1.1924,116.4505,4.5669,37.9058,1.4866,6
P25205,DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3,152.3855,13.9598,51.272,4.6969,83.2662,7.6279,121.7111,11.1497,320.4721,29.3579,89.1705,8.1688,6
Q16186,Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens GN=ADRM1 PE=1 SV=2,115.4195,4.8982,40.6946,1.727,19.3258,0.8202,57.3964,2.4358,111.8388,4.7463,24.008,1.0189,6
P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens GN=PPP1CB PE=1 SV=3,57.1952,2.1726,22.2489,0.8451,21.8745,0.8309,70.2401,2.6681,336.5132,12.7825,92.4549,3.5119,6
